"毛保費
Gross Premiums","分出再保險保費
Reinsurance Outward Premiums","淨保費
Net Premiums","未滿期保費調整
Unearned Premiums Adjustment","滿期保費
Earned Premiums","須付的佣金
Commissions Payable","管理開支
Management Expenses","未過期風險調整
Unexpired Risks Adjustment","可收取的佣金
Commissions Receivable","已償付申索毛額
Gross Claims Paid","可追討的申索
Claims Recoverable","已償付申索淨額
Net Claims Paid","未決申索準備金調整
Outstanding Claims Provision Adjustment","已承付申索淨額
Net Claims Incurred ","承保利潤/(虧損)
Underwriting Profit/(Loss)",Category,FY
17117.2,3566.3,13550.900000000001,398.89999999999964,13152.000000000002,2400.5,1888.2,3.9999999999999982,760.4000000000001,12079.7,2307,9772.7,-499.5,9273.2,346.5,Accident & Health,2018
5983,1473.4,4509.6,-324.6999999999996,4834.3,1945.5,637.5,-6.799999999999997,603.8,3460.2,697.1,2763.1,346.3000000000002,3109.4,-247.49999999999955,Motor Vehicle,2018
155.10000000000002,109.6,45.50000000000003,1.7000000000000028,43.800000000000026,19.8,9.5,0,12.5,113.30000000000001,78.9,34.400000000000006,-2.700000000000003,31.700000000000003,-4.699999999999978,Aircraft,2018
2441.4,1245.6,1195.8000000000002,27.100000000000023,1168.7000000000003,318.8,220.3,2.1999999999999993,113.7,1300.6000000000001,639.8,660.8000000000002,352.0999999999999,1012.9000000000001,-271.7999999999997,Ships,2018
1562.8000000000002,559.5,1003.3000000000002,11.099999999999994,992.2000000000002,267.20000000000005,194,0.2999999999999998,95,687,293.2,393.8,109.70000000000005,503.50000000000006,122.2000000000001,Goods in Transit,2018
9066.7,4754.4,4312.300000000001,101.50000000000045,4210.800000000001,1932.2000000000003,1034.9,3.9999999999999964,925,4301,2549.7000000000003,1751.2999999999997,214.80000000000018,1966.1,198.60000000000082,Property Damage,2018
13097.500000000002,5258.8,7838.700000000002,90.19999999999982,7748.500000000002,2148.2,1615.6999999999998,19.19999999999999,703.9,5923.799999999999,2032.2,3891.5999999999995,389.9000000000051,4281.500000000005,387.79999999999745,General Liability,2018
3024.3,1314.6000000000001,1709.7,91.79999999999973,1617.9000000000003,620,525.9,8.900000000000006,419.2,879.1,500.9,378.20000000000005,330.0999999999999,708.3,174.00000000000045,Pecuniary Loss,2018
153.4,14.3,139.1,0.29999999999999893,138.79999999999998,12.9,10.1,1.4,0.7000000000000001,71.4,3.7,67.7,-3.1000000000000227,64.59999999999998,50.5,Non-Proportional Treaty Reinsurance,2018
499.40000000000003,70.9,428.5,13.300000000000011,415.2,127.10000000000001,26.1,3.8999999999999986,13.5,297,38.9,258.1,185.70000000000005,443.80000000000007,-172.2000000000001,Proportional Treaty Reinsurance,2018
